11/18/16
time,nodeID,airTemperature,airHumidity,soilTemperature,soilMoisture,lightIntensity,windVelocity,winDirection,Rain
22:6:33,01,5,84,5,14,40,N/A,N/A,N/A
4:15:28,01,4,72,30,74,13,N/A,N/A,N/A
10:9:20,01,23,13,44,70,109,N/A,N/A,N/A
4:17:49,01,9,4,27,91,134,N/A,N/A,N/A
4:6:40,01,13,59,28,98,149,N/A,N/A,N/A
10:18:14,01,38,78,34,44,17,N/A,N/A,N/A
19:28:45,01,25,1,25,90,21,N/A,N/A,N/A
5:32:44,01,39,3,31,12,3,N/A,N/A,N/A
2:49:31,01,20,86,14,90,43,N/A,N/A,N/A
5:7:12,01,19,84,45,96,33,N/A,N/A,N/A
9:18:43,01,37,0,43,8,92,N/A,N/A,N/A
9:36:28,01,35,51,3,31,64,N/A,N/A,N/A
4:50:37,01,44,53,0,84,12,N/A,N/A,N/A
4:4:12,01,36,28,48,23,72,N/A,N/A,N/A
18:35:4,01,22,36,4,14,72,N/A,N/A,N/A
17:18:11,01,19,67,46,71,13,N/A,N/A,N/A
10:36:25,01,49,75,14,1,62,N/A,N/A,N/A
10:29:48,01,36,75,44,59,25,N/A,N/A,N/A
21:14:30,01,20,80,0,3,144,N/A,N/A,N/A
13:1:26,01,50,43,36,37,2,N/A,N/A,N/A
12:2:32,01,37,12,45,37,119,N/A,N/A,N/A
2:46:2,01,4,10,19,37,46,N/A,N/A,N/A
10:3:26,01,45,39,10,66,105,N/A,N/A,N/A
2:25:29,01,9,26,43,2,139,N/A,N/A,N/A
3:18:28,01,41,50,50,85,126,N/A,N/A,N/A
4:15:22,01,0,68,28,10,62,N/A,N/A,N/A
3:13:9,01,0,19,28,40,46,N/A,N/A,N/A
9:1:10,01,18,10,43,78,104,N/A,N/A,N/A
10:25:18,01,33,85,17,89,119,N/A,N/A,N/A
18:11:45,01,31,22,13,36,20,1,N/A,N/A
19:40:6,01,24,36,31,75,55,1,N/A,N/A
10:29:16,01,37,93,24,10,73,1,N/A,N/A
19:19:2,01,15,27,39,6,36,N/A,N/A,N/A
9:5:40,01,11,57,1,25,142,N/A,N/A,N/A
8:21:50,01,45,67,11,43,93,N/A,N/A,N/A
13:22:21,01,12,46,14,25,122,N/A,N/A,N/A
10:46:0,01,24,85,14,72,91,N/A,N/A,N/A
4:41:27,01,10,59,21,6,140,N/A,N/A,N/A
8:15:35,01,46,28,1,34,57,N/A,N/A,N/A
4:8:4,01,20,40,29,16,143,N/A,N/A,N/A
13:47:15,01,11,99,26,49,94,N/A,N/A,N/A
15:19:39,01,11,60,6,51,113,N/A,N/A,N/A
12:27:36,01,28,78,17,87,92,N/A,N/A,N/A
11:33:41,01,17,59,33,11,129,N/A,N/A,N/A
14:39:4,01,9,5,4,42,118,N/A,N/A,N/A
7:3:41,01,28,58,12,59,101,N/A,N/A,N/A
6:43:20,01,23,89,34,82,48,N/A,N/A,N/A
14:22:34,01,31,4,41,89,74,N/A,N/A,N/A
6:20:48,01,24,61,3,94,63,N/A,N/A,N/A
0:30:1,01,45,61,49,53,113,N/A,N/A,N/A
23:30:11,01,5,34,48,23,8,N/A,N/A,N/A
8:45:4,01,44,83,32,11,46,N/A,N/A,N/A
17:46:5,01,48,57,50,41,123,N/A,N/A,N/A
12:39:45,01,17,57,9,35,2,N/A,N/A,N/A
4:13:14,01,26,72,31,0,58,N/A,N/A,N/A
8:5:12,01,9,28,3,18,13,N/A,N/A,N/A
0:36:23,01,9,7,29,16,113,N/A,N/A,N/A
1:22:6,01,3,27,26,25,62,N/A,N/A,N/A
16:7:11,01,6,50,41,25,81,N/A,N/A,N/A
16:5:35,01,14,88,3,90,24,N/A,N/A,N/A
11:45:4,01,30,82,2,38,73,N/A,N/A,N/A
17:1:29,01,5,34,23,32,22,N/A,N/A,N/A
20:17:36,01,45,35,5,31,149,N/A,N/A,N/A
4:0:10,01,49,63,39,62,89,N/A,N/A,N/A
18:8:8,01,32,40,43,67,93,N/A,N/A,N/A
3:47:48,01,34,91,40,44,74,N/A,N/A,N/A
14:2:30,01,33,62,3,74,116,N/A,N/A,N/A
4:4:37,01,24,86,15,27,92,N/A,N/A,N/A
7:16:10,01,37,88,14,68,77,N/A,N/A,N/A
6:0:11,01,47,71,12,91,79,N/A,N/A,N/A
14:37:14,01,13,18,50,6,37,N/A,N/A,N/A
2:39:28,01,45,81,18,7,143,N/A,N/A,N/A
20:22:3,01,32,1,6,6,97,N/A,N/A,N/A
4:48:27,01,44,92,11,82,93,N/A,N/A,N/A
15:47:11,01,30,48,42,40,56,N/A,N/A,N/A
22:17:35,01,1,78,37,67,121,N/A,N/A,N/A
0:27:25,01,20,78,35,77,87,N/A,N/A,N/A
11:13:4,01,22,45,41,41,104,N/A,N/A,N/A
20:38:22,01,22,61,18,91,100,N/A,N/A,N/A
15:21:7,01,15,0,19,41,123,N/A,N/A,N/A
9:48:16,01,1,78,1,5,56,N/A,N/A,N/A
2:20:45,01,25,21,23,35,60,N/A,N/A,N/A
15:8:38,01,2,69,28,69,82,N/A,N/A,N/A
19:2:0,01,14,86,27,51,78,N/A,N/A,N/A
6:14:46,01,44,39,1,36,86,N/A,N/A,N/A
10:34:24,01,10,37,12,54,79,N/A,N/A,N/A
17:14:20,01,36,89,46,83,86,N/A,N/A,N/A
3:40:15,01,48,56,36,18,44,N/A,N/A,N/A
14:38:17,01,38,79,31,69,15,N/A,N/A,N/A
10:14:8,01,9,18,39,77,90,N/A,N/A,N/A
18:40:43,01,22,11,21,14,15,N/A,N/A,N/A
19:7:22,01,31,11,45,53,67,N/A,N/A,N/A
2:3:1,01,2,82,12,59,0,N/A,N/A,N/A
4:8:37,01,36,4,31,9,55,N/A,N/A,N/A
4:28:38,01,20,91,2,59,123,N/A,N/A,N/A
7:38:7,01,29,29,7,39,82,N/A,N/A,N/A
9:15:3,01,24,54,31,66,62,N/A,N/A,N/A
7:49:6,01,20,88,28,22,110,N/A,N/A,N/A
5:45:40,01,10,95,5,28,98,N/A,N/A,N/A
20:19:12,01,39,43,45,99,109,N/A,N/A,N/A
8:17:20,01,45,27,48,46,148,N/A,N/A,N/A
