11/05/16
time,nodeID,airTemperature,airHumidity,soilTemperature,soilMoisture,lightIntensity,isSent
14:4:0,01,29,4,19,65,100,True
19:15:7,01,3,14,49,84,43,True
12:17:37,01,23,12,36,72,112,True
5:48:20,01,3,13,46,30,144,True
5:43:27,01,18,54,32,40,127,True
0:19:9,01,21,94,32,59,94,True
8:50:4,01,18,31,25,52,142,True
6:30:32,01,28,45,27,71,105,True
8:16:45,01,9,74,7,93,65,True
12:21:15,01,21,81,31,59,132,True
16:16:11,01,27,59,42,24,93,True
11:21:15,01,0,6,18,76,92,True
21:1:11,01,25,32,47,33,13,True
14:0:40,01,17,76,8,13,63,True
9:9:36,01,31,42,25,14,4,True
3:26:43,01,1,51,36,26,30,True
22:5:15,01,10,15,10,2,106,True
10:12:35,01,5,43,28,12,19,True
5:0:46,01,24,83,22,20,69,True
11:32:1,01,14,66,1,94,78,True
20:13:2,01,41,99,15,8,80,True
20:24:12,01,15,46,7,40,46,True
12:22:15,01,28,20,27,5,126,True
2:48:12,01,19,29,39,19,81,True
14:16:40,01,50,25,47,83,53,True
22:46:10,01,20,26,12,81,91,True
16:47:37,01,39,71,11,3,34,True
7:19:46,01,19,47,8,15,146,True
22:32:28,01,49,83,41,81,19,True
0:29:8,01,49,78,11,51,86,True
1:17:38,01,29,54,50,13,150,True
17:17:34,01,16,77,41,20,36,True
0:37:47,01,36,92,18,13,136,True
8:44:43,01,28,41,33,59,142,True
7:3:36,01,9,20,48,74,102,True
10:14:17,01,8,55,28,59,71,True
0:19:49,01,36,8,2,70,133,True
17:35:14,01,23,73,45,15,67,True
17:42:0,01,0,70,0,39,13,True
14:18:45,01,38,92,26,37,9,True
16:29:1,01,40,8,7,53,94,True
9:2:8,01,37,88,15,3,74,True
18:9:36,01,38,57,50,43,4,True
23:40:25,01,16,1,34,81,37,True
12:36:17,01,17,25,28,3,85,True
23:49:29,01,7,2,33,24,33,True
3:30:21,01,38,2,38,12,147,True
2:11:2,01,41,84,9,69,111,True
22:34:41,01,35,37,27,74,41,True
22:25:36,01,32,77,15,59,66,True
21:27:40,01,11,72,35,20,25,True
5:30:27,01,43,59,10,46,136,True
21:13:47,01,26,18,17,8,101,True
0:45:24,01,40,54,47,46,59,True
13:39:16,01,4,85,46,83,95,True
9:29:2,01,1,82,24,98,101,True
12:10:7,01,32,28,34,12,45,True
8:32:30,01,15,66,47,55,112,True
2:16:3,01,17,0,0,19,2,True
4:42:11,01,24,70,41,57,141,True
22:14:33,01,45,60,8,38,146,True
7:41:35,01,47,10,41,78,45,True
1:10:2,01,29,59,19,96,72,True
21:32:34,01,42,35,50,53,117,True
22:44:2,01,49,20,42,54,94,True
12:43:20,01,12,87,40,16,71,True
4:17:15,01,48,31,37,27,54,True
9:13:39,01,24,67,17,8,123,True
20:29:9,01,30,45,33,68,38,True
15:0:2,01,29,61,19,11,88,True
4:25:34,01,36,79,6,47,101,True
11:43:6,01,33,44,12,87,139,True
4:21:23,01,35,83,6,80,63,True
19:16:49,01,47,76,16,24,129,True
9:3:17,01,31,65,25,71,61,True
22:14:8,01,25,24,18,28,69,True
16:35:28,01,8,4,26,25,18,True
23:14:7,01,31,95,40,38,94,True
15:45:28,01,47,85,41,25,74,True
6:41:7,01,11,5,33,39,137,True
16:37:0,01,48,41,10,58,139,True
21:12:32,01,11,59,0,27,69,True
0:18:7,01,29,49,40,79,130,True
9:44:37,01,44,80,33,55,148,True
11:36:13,01,49,96,33,19,66,True
21:45:0,01,27,38,38,89,104,True
16:32:38,01,4,39,28,31,101,True
22:5:31,01,26,91,0,45,90,True
18:25:4,01,14,45,2,61,134,True
21:45:3,01,50,93,12,1,108,True
20:14:33,01,29,88,44,48,17,True
8:13:25,01,33,48,16,36,148,True
9:25:32,01,0,34,7,92,89,True
1:28:22,01,25,35,5,84,48,True
1:50:49,01,10,51,50,85,16,True
2:8:41,01,7,13,21,85,124,True
16:5:37,01,25,60,39,44,46,True
15:31:40,01,32,4,34,80,68,True
12:7:36,01,29,65,36,48,105,True
6:13:36,01,43,74,9,22,43,True
20:23:7,01,5,78,38,21,56,True
12:39:41,01,23,16,5,87,44,True
14:5:4,01,5,28,3,58,98,True
12:7:21,01,39,79,25,18,131,True
18:23:44,01,21,97,11,32,148,True
23:8:18,01,17,12,2,79,70,True
12:24:10,01,14,69,14,34,118,True
7:44:38,01,29,93,0,75,48,True
15:37:36,01,30,61,50,69,8,True
8:31:26,01,41,80,50,15,150,True
4:20:21,01,36,23,5,11,139,True
3:6:29,01,19,53,46,54,58,True
3:3:41,01,5,17,21,5,73,True
14:26:32,01,21,45,7,96,78,True
3:17:24,01,42,8,18,43,86,True
10:0:47,01,22,58,4,0,14,True
5:42:19,01,27,19,46,14,15,True
5:37:48,01,45,86,30,66,136,True
18:35:15,01,42,43,17,26,18,True
15:40:29,01,9,47,47,45,148,True
6:16:3,01,50,41,44,87,106,True
18:19:46,01,47,3,38,98,134,True
21:6:35,01,2,15,24,62,6,True
1:30:47,01,35,86,7,48,148,True
10:40:20,01,3,74,1,60,83,True
15:9:20,01,13,69,33,47,7,True
13:28:7,01,11,87,22,15,132,True
16:13:12,01,20,79,28,80,29,True
11:3:33,01,21,3,38,56,133,True
18:35:1,01,34,11,46,13,47,True
21:32:26,01,8,41,24,13,17,True
8:20:17,01,31,76,8,1,104,True
19:21:5,01,42,19,4,25,115,True
4:4:23,01,9,28,23,88,44,True
12:28:14,01,27,84,1,51,43,True
20:34:30,01,41,61,16,99,74,True
10:23:46,01,36,26,4,94,22,True
18:22:49,01,27,53,17,86,85,True
20:21:46,01,41,9,29,92,28,True
15:42:7,01,24,58,48,87,123,True
13:0:46,01,31,64,40,14,55,True
14:23:33,01,30,21,13,71,33,True
20:40:39,01,19,73,49,44,51,True
4:1:28,01,32,79,16,72,60,True
14:34:37,01,24,57,18,1,50,True
12:45:29,01,22,41,33,11,11,True
7:7:7,01,46,37,42,54,45,True
3:12:8,01,41,71,0,38,120,True
0:35:45,01,6,56,4,93,23,True
13:13:18,01,19,8,46,69,76,True
6:11:7,01,33,94,49,10,44,True
0:0:12,01,13,20,37,15,138,True
4:32:23,01,50,47,26,28,29,True
12:18:15,01,33,82,26,44,36,True
13:39:4,01,30,73,9,54,53,True
16:49:25,01,46,29,27,70,144,True
13:14:21,01,47,4,26,45,53,True
23:50:0,01,2,9,11,8,109,True
3:9:3,01,37,94,43,72,127,True
2:44:39,01,5,43,29,58,98,True
19:21:49,01,40,9,7,85,122,True
5:19:1,01,29,23,45,95,143,True
18:49:50,01,13,68,21,66,71,True
14:33:8,01,10,3,10,14,128,True
18:14:20,01,13,79,35,37,24,True
7:3:24,01,24,99,29,97,7,True
22:35:30,01,4,7,3,28,115,True
21:18:12,01,45,15,28,28,58,True
19:21:47,01,40,86,46,18,108,True
5:45:15,01,24,15,29,87,91,True
6:23:1,01,30,34,7,7,12,True
16:12:45,01,32,15,4,13,117,True
5:42:49,01,39,66,0,89,12,True
8:15:45,01,13,44,22,32,37,True
14:6:4,01,31,14,28,13,4,True
16:12:20,01,30,75,2,59,52,True
14:31:4,01,2,54,50,19,122,True
1:30:47,01,10,35,30,86,131,True
0:46:3,01,20,44,24,78,38,True
19:37:43,01,25,4,50,49,64,True
2:7:14,01,28,23,31,63,33,True
9:34:1,01,41,87,24,80,101,True
23:39:6,01,43,45,44,91,126,True
3:33:40,01,25,16,1,97,40,True
9:7:46,01,42,23,41,35,65,True
7:19:6,01,31,77,29,24,114,True
5:16:46,01,41,68,46,99,87,True
22:6:9,01,14,26,46,8,3,True
21:6:2,01,29,28,19,46,3,True
12:0:50,01,26,26,41,2,104,True
10:19:28,01,10,71,2,88,113,True
2:3:40,01,14,85,20,14,83,True
20:21:1,01,45,15,20,65,82,True
17:18:41,01,18,15,13,70,96,True
13:50:19,01,37,52,0,67,34,True
7:47:50,01,28,93,3,92,40,True
4:50:47,01,3,37,1,70,11,True
20:39:18,01,46,21,20,11,110,True
