11/20/16
time,nodeID,airTemperature,airHumidity,soilTemperature,soilMoisture,lightIntensity,windVelocity,winDirection,Rain
22:48:24,01,17,63,30,73,42,N/A,N/A,N/A
12:48:40,01,3,42,34,61,148,N/A,N/A,N/A
4:43:22,01,1,30,20,78,48,N/A,N/A,N/A
13:39:47,01,11,89,10,18,16,N/A,N/A,N/A
3:48:26,01,10,79,50,90,37,N/A,N/A,N/A
18:37:4,01,10,87,8,25,103,N/A,N/A,N/A
1:48:33,01,24,11,48,24,108,N/A,N/A,N/A
15:32:15,01,17,21,48,12,69,N/A,N/A,N/A
18:15:30,01,8,87,17,4,0,N/A,N/A,N/A
2:3:42,01,49,63,17,17,138,N/A,N/A,N/A
9:29:34,01,0,37,31,76,17,N/A,N/A,N/A
6:12:14,01,18,55,14,70,123,N/A,N/A,N/A
9:0:1,01,23,52,47,49,114,N/A,N/A,N/A
0:9:48,01,20,33,44,27,1,N/A,N/A,N/A
10:23:41,01,31,93,43,94,143,N/A,N/A,N/A
17:29:48,01,21,36,38,15,66,N/A,N/A,N/A
10:44:28,01,2,38,26,89,56,N/A,N/A,N/A
9:20:9,01,41,85,29,58,134,N/A,N/A,N/A
18:22:36,01,23,35,37,37,127,N/A,N/A,N/A
8:39:49,01,19,94,39,55,58,N/A,N/A,N/A
18:49:45,01,35,6,42,43,53,N/A,N/A,N/A
13:40:18,01,37,48,7,94,118,N/A,N/A,N/A
14:34:2,01,35,44,3,45,140,N/A,N/A,N/A
9:37:45,01,33,81,4,63,141,N/A,N/A,N/A
23:43:2,01,18,11,42,9,50,N/A,N/A,N/A
8:49:8,01,39,96,14,82,20,N/A,N/A,N/A
2:3:18,01,26,48,36,69,146,N/A,N/A,N/A
15:5:34,01,41,62,22,10,8,N/A,N/A,N/A
10:26:6,01,10,54,3,88,5,N/A,N/A,N/A
1:31:32,01,33,64,7,43,150,N/A,N/A,N/A
21:27:12,01,46,38,20,61,134,N/A,N/A,N/A
13:12:17,01,32,67,21,53,4,N/A,N/A,N/A
12:43:37,01,33,7,38,41,140,N/A,N/A,N/A
23:38:24,01,47,99,18,16,118,N/A,N/A,N/A
20:47:29,01,37,15,22,15,65,N/A,N/A,N/A
13:36:39,01,20,82,10,22,63,N/A,N/A,N/A
10:34:45,01,41,19,35,80,149,N/A,N/A,N/A
19:13:26,01,12,61,43,77,90,N/A,N/A,N/A
17:37:26,01,41,13,48,57,18,N/A,N/A,N/A
3:26:42,01,21,50,16,97,93,N/A,N/A,N/A
11:32:3,01,40,31,15,58,125,N/A,N/A,N/A
3:2:4,01,47,17,39,97,73,N/A,N/A,N/A
13:31:46,01,28,3,17,62,46,N/A,N/A,N/A
3:15:7,01,26,81,47,96,101,N/A,N/A,N/A
21:22:4,01,2,94,3,31,6,N/A,N/A,N/A
18:22:16,01,4,99,37,65,133,N/A,N/A,N/A
16:38:25,01,48,39,47,77,95,N/A,N/A,N/A
14:30:19,01,40,14,29,53,77,N/A,N/A,N/A
8:41:49,01,39,34,8,56,143,N/A,N/A,N/A
